,Hub No.,Time of Request,Number of Battery Requested,Remaining Battery in Hub,Battery on the Road,Farm Index,car Index,delivery Time
0,17,Day 0 - 22:38:15,22,20,22,1,0,Day 0 - 23:25:46
1,3,Day 0 - 23:52:56,10,0,10,1,0,Day 1 - 0:22:35
2,3,Day 0 - 23:56:14,12,0,22,1,1,Day 1 - 0:30:34
3,1,Day 1 - 3:25:26,10,0,10,1,0,Day 1 - 4:41:54
4,7,Day 1 - 7:36:14,12,10,12,1,0,Day 1 - 8:10:16
5,1,Day 1 - 7:52:39,12,10,12,1,1,Day 1 - 9:5:40
6,3,Day 1 - 7:56:11,14,2,14,1,0,Day 1 - 8:29:46
7,12,Day 1 - 10:16:7,12,10,12,1,0,Day 1 - 11:1:26
8,12,Day 1 - 10:23:32,14,0,26,1,1,Day 1 - 11:8:51
9,3,Day 1 - 12:15:42,8,6,8,1,0,Day 1 - 12:49:0
10,17,Day 1 - 12:33:1,14,12,14,1,1,Day 1 - 13:20:32
11,7,Day 1 - 14:18:8,6,2,6,1,0,Day 1 - 14:54:12
12,7,Day 1 - 15:12:20,6,0,6,1,0,Day 1 - 15:12:20
13,2,Day 1 - 15:38:35,12,10,12,1,0,Day 1 - 16:27:16
14,7,Day 1 - 15:39:26,8,6,8,1,1,Day 1 - 16:17:48
15,3,Day 1 - 15:41:13,14,4,14,1,0,Day 1 - 16:17:34
16,10,Day 1 - 16:9:53,12,10,12,1,0,Day 1 - 16:37:57
17,1,Day 1 - 16:20:18,10,2,10,1,1,Day 1 - 17:19:32
18,1,Day 1 - 16:28:29,12,0,22,1,0,Day 1 - 17:28:47
19,12,Day 1 - 16:35:26,8,6,8,1,2,Day 1 - 17:30:19
20,18,Day 1 - 17:30:3,10,0,10,0,0,Day 1 - 18:3:15
21,1,Day 1 - 17:32:53,10,2,10,1,0,Day 1 - 17:32:53
22,3,Day 1 - 18:4:59,10,8,10,1,1,Day 1 - 18:39:4
23,14,Day 1 - 18:15:26,12,10,12,0,0,Day 1 - 18:54:53
24,7,Day 1 - 18:28:4,8,4,8,1,1,Day 1 - 18:56:41
25,3,Day 1 - 18:29:22,20,8,30,1,2,Day 1 - 19:3:27
26,2,Day 1 - 18:37:41,6,2,6,0,0,Day 1 - 19:42:23
27,19,Day 1 - 19:15:49,12,10,12,0,1,Day 1 - 19:59:9
28,7,Day 1 - 19:53:59,4,2,4,0,0,Day 1 - 20:24:31
29,7,Day 1 - 20:3:5,8,2,12,0,1,Day 1 - 20:28:38
30,12,Day 1 - 20:12:42,16,4,16,0,0,Day 1 - 20:50:13
31,2,Day 1 - 20:23:36,8,0,8,0,1,Day 1 - 20:57:4
32,2,Day 1 - 20:32:21,10,0,18,0,1,Day 1 - 20:57:3
33,3,Day 1 - 20:52:16,20,18,20,0,0,Day 1 - 21:38:18
34,1,Day 1 - 21:1:13,12,2,12,0,1,Day 1 - 22:29:3
35,3,Day 1 - 21:20:29,22,0,42,0,0,Day 1 - 21:38:18
36,4,Day 1 - 21:36:25,12,10,12,0,2,Day 1 - 22:34:5
37,1,Day 1 - 21:37:31,16,2,28,0,1,Day 1 - 22:29:2
38,10,Day 1 - 21:43:42,14,12,14,0,3,Day 1 - 22:36:32
39,12,Day 1 - 23:9:27,8,6,8,0,3,Day 1 - 23:38:6
40,18,Day 1 - 23:51:53,10,0,10,0,0,Day 2 - 0:26:3
