,Order Node,Hub No.,Time of Order,Wait upto,Minimum Time for Delivery,Reason for Rejection
0,2757350459,5,Day 0 - 2:26:24,Day 0 - 2:47:59,Day 11574 - 1:46:40,Time constraint
1,42939382,17,Day 0 - 2:50:13,Day 0 - 3:11:15,Day 11574 - 1:46:40,Time constraint
2,42535398,1,Day 0 - 4:13:28,Day 0 - 4:53:40,Day 11574 - 1:46:40,Time constraint
3,42486187,1,Day 0 - 8:36:17,Day 0 - 8:55:9,Day 11574 - 1:46:40,Time constraint
4,2282434913,1,Day 0 - 10:49:34,Day 0 - 11:0:29,Day 11574 - 1:46:40,Time constraint
5,42801125,5,Day 0 - 14:48:9,Day 0 - 15:4:15,Day 11574 - 1:46:40,Time constraint
6,42472494,1,Day 0 - 19:27:25,Day 0 - 19:50:8,Day 11574 - 1:46:40,Time constraint
7,103199060,14,Day 0 - 21:31:9,Day 0 - 21:41:11,Day 11574 - 1:46:40,Time constraint
8,42823714,17,Day 0 - 21:59:39,Day 0 - 22:18:31,Day 11574 - 1:46:40,Time constraint
9,42489425,1,Day 0 - 23:3:38,Day 0 - 23:26:23,Day 11574 - 1:46:40,Time constraint
10,42501491,1,Day 0 - 23:42:46,Day 0 - 23:56:41,Day 11574 - 1:46:40,Time constraint
11,1701253994,5,Day 1 - 2:56:52,Day 1 - 3:23:35,Day 11574 - 1:46:40,Time constraint
12,42490050,1,Day 1 - 3:22:6,Day 1 - 3:32:36,Day 11574 - 1:46:40,Time constraint
13,42812962,17,Day 1 - 6:15:19,Day 1 - 6:37:47,Day 11574 - 1:46:40,Time constraint
14,42524504,1,Day 1 - 16:21:4,Day 1 - 16:32:8,Day 11574 - 1:46:40,Time constraint
15,103208121,9,Day 1 - 17:4:53,Day 1 - 17:15:25,Day 11574 - 1:46:40,Time constraint
16,103310075,14,Day 1 - 17:18:27,Day 1 - 17:30:24,Day 11574 - 1:46:40,Time constraint
17,103136467,14,Day 1 - 20:3:15,Day 1 - 20:16:16,Day 11574 - 1:46:40,Time constraint
18,42503015,1,Day 1 - 20:12:38,Day 1 - 20:28:21,Day 11574 - 1:46:40,Time constraint
19,42532575,1,Day 1 - 20:54:49,Day 1 - 21:5:35,Day 11574 - 1:46:40,Time constraint
20,42846900,5,Day 1 - 21:7:47,Day 1 - 21:21:48,Day 11574 - 1:46:40,Time constraint
21,42513910,1,Day 1 - 21:20:25,Day 1 - 21:37:6,Day 11574 - 1:46:40,Time constraint
22,42745785,18,Day 1 - 23:19:48,Day 1 - 23:31:49,Day 11574 - 1:46:40,Time constraint
